,bedrooms,bathrooms,lat,lng,since_built_year,no_of_units,area_size,since_listing_month,price
0,3,4.0,1.2393366271489,103.83748719432,11.0,151.0,2336.0,11,5390000.0
1,3,3.0,1.31953348960235,103.847029859453,23.0,24.0,1259.0,11,2310000.0
2,4,3.0,1.3156558637763798,103.84444472109502,10.0,235.0,1959.0,10,5279500.0
3,3,2.0,1.32936720206385,103.905791323853,92.0,237.0,883.0,3,1843600.0
5,2,1.0,1.43919858389734,103.829104449216,92.0,448.0,678.0,3,1131900.0
6,4,3.0,1.36286208839026,103.763433915546,92.0,564.0,1249.0,3,2189000.0
7,3,2.0,1.3823880275650702,103.892136541911,6.0,680.0,936.0,4,1595000.0
8,1,1.0,1.2963566643980902,103.85736876917,1.0,219.0,409.0,4,1490500.0
9,1,1.0,1.27347663345182,103.845553160818,8.0,202.0,592.0,7,1265000.0
10,3,3.0,1.31083945362027,103.828325367461,8.0,156.0,1765.0,9,5439500.0
12,3,2.0,1.3453195492621202,103.945384662025,-1.0,466.4,1033.0,4,1705000.0
13,2,1.0,1.32582135495427,103.944919226615,2.0,720.0,560.0,4,1031800.0
14,3,2.0,1.3292937604838502,103.94421519181,20.0,482.0,1238.0,4,1485000.0
15,3,3.0,1.2984373006061298,103.884408021083,6.0,130.0,1216.0,4,2809000.0
17,4,4.0,1.24297424636053,103.839164641252,11.0,124.0,2519.0,5,5087500.0
18,3,3.0,1.2963566643980902,103.85736876917,1.0,219.0,1324.0,4,4610300.0
19,4,4.0,1.29298775382221,103.851046829843,6.0,39.0,5963.0,10,24742700.0
20,2,2.0,1.2763901192721498,103.830271330171,92.0,1074.0,689.0,3,1636800.0
21,1,1.0,1.3769729039412502,103.751272385118,4.0,1327.0,570.0,4,768900.0
22,3,3.0,1.31264956890401,103.794954717761,3.0,69.0,1130.0,4,3480400.0
23,2,2.0,1.2829614865958898,103.839814598308,92.0,774.0,570.0,4,2092200.0
24,3,2.0,1.28702848318685,103.791616124392,52.0,1862.0,915.0,4,1760000.0
25,2,2.0,1.26489010829928,103.816454088109,6.0,366.0,969.0,6,1881000.0
26,1,1.0,1.2998826225442,103.828975333714,9.0,60.0,527.0,4,1580700.0
27,3,2.0,1.27671498507474,103.853326932298,5.0,1042.0,1518.0,6,4312000.0
28,3,3.0,1.29173359502464,103.836971346231,13.0,545.0,1496.0,6,4620000.0
29,3,3.0,1.39500084857108,103.881564789742,6.0,555.0,1055.0,4,1104400.0
30,4,5.0,1.30616222501617,103.83699453780198,44.0,204.0,3305.0,4,7920000.0
31,2,1.0,1.33183478538043,103.869655274598,6.0,332.0,872.0,7,1408000.0
32,2,2.0,1.28948198551176,103.830085402755,29.0,280.0,926.0,15,1540000.0
33,1,1.0,1.27685386379359,103.791742171785,4.0,120.0,603.0,5,1443800.0
34,2,2.0,1.36150960154245,103.887627003056,3.0,395.0,743.0,4,1485000.0
35,1,1.0,1.29916779999053,103.83342756799,7.0,462.0,549.0,5,1848000.0
36,4,3.0,1.4401512884871297,103.82780133663,92.0,448.0,1302.0,4,2050400.0
37,1,1.0,1.34099076651783,103.880849820172,6.0,868.0,463.0,15,748000.0
38,2,2.0,1.3156928164723998,103.841615456446,6.0,180.0,775.0,4,2176900.0
39,2,2.0,1.27671498507474,103.853326932298,5.0,1042.0,1005.0,6,2860000.0
41,3,3.0,1.33990853882395,103.767523150763,62.0,466.4,1033.0,3,2263800.0
42,4,4.0,1.35516120754023,103.967844585142,7.0,501.0,1539.0,4,1859000.0
43,1,1.0,1.2772242561628302,103.853694940241,5.0,1042.0,732.0,3,1837000.0
44,1,1.0,1.3191895872053898,103.881380824314,9.0,1024.0,560.0,3,946000.0
45,4,3.0,1.31391724536932,103.883271343775,92.0,34.0,1313.0,4,2168100.0
49,2,2.0,1.28071186552745,103.79096314844,62.0,548.0,786.0,3,1408000.0
50,4,4.0,1.31083945362027,103.828325367461,8.0,156.0,2476.0,4,7891400.0
51,3,3.0,1.279625798918,103.854987203774,12.0,428.0,1636.0,6,4158000.0
52,2,2.0,1.3382224855350802,103.781375965144,33.0,215.0,786.0,4,1727000.0
53,3,2.0,1.37669739983417,103.903413816668,7.0,394.0,1227.0,12,1353000.0
54,4,4.0,1.31273110891936,103.840805628022,92.0,378.0,1528.0,4,3848900.0
55,2,1.0,1.31591024154147,103.803764384395,8.0,1715.0,635.0,4,1485000.0
57,3,4.0,1.29980932003035,103.846962526481,13.0,50.0,3659.0,6,7590000.0
58,4,6.0,1.31042398715597,103.827913403265,8.0,43.0,3821.0,11,17806800.0
60,2,2.0,1.2763901192721498,103.830271330171,92.0,1074.0,657.0,4,1383800.0
61,4,4.0,1.27588976787545,103.83815170912202,62.0,262.0,1346.0,4,4085400.0
62,2,2.0,1.33990853882395,103.767523150763,62.0,928.0,689.0,5,1603800.0
63,5,4.0,1.27588976787545,103.83815170912202,62.0,262.0,1819.0,3,6248000.0
64,2,1.0,1.3160902186364198,103.802300019532,8.0,1715.0,937.0,6,1793000.0
65,2,2.0,1.33102936528877,103.767519926051,92.0,660.0,700.0,3,1398100.0
66,2,2.0,1.32424062857487,103.945166152749,5.0,748.0,840.0,6,1438800.0
67,4,4.0,1.33161839267294,103.794252400987,1.0,285.0,1475.0,4,3940600.0
69,1,1.0,1.3178394716996498,103.826223650676,9.0,44.0,947.0,6,1870000.0
70,2,2.0,1.29661070295127,103.838583743882,10.0,130.0,883.0,4,2449600.0
72,2,2.0,1.34503342838494,103.946749425598,62.0,2203.0,678.0,4,1210000.0
75,4,3.0,1.31083945362027,103.828325367461,8.0,156.0,5456.0,4,36756500.0
76,3,3.0,1.30928782407603,103.857584554973,52.0,466.4,1442.0,13,2750000.0
77,3,3.0,1.2963566643980902,103.85736876917,1.0,219.0,1324.0,4,4610100.0
78,4,4.0,1.30326050404129,103.789209731059,-1.0,165.0,1259.0,3,2651000.0
79,3,3.0,1.4484828125566205,103.827500614159,-1.0,413.0,1044.0,4,1234200.0
80,3,2.0,1.36721571020099,103.887069987475,92.0,1410.0,936.0,4,1439900.0
81,2,1.0,1.36556375666326,103.87364194752,-1.0,1052.0,624.0,3,1229800.0
83,4,4.0,1.31641321892511,103.757451263571,6.0,136.0,2863.0,3,2695000.0
84,2,1.0,1.33555731797921,103.742416815373,6.0,738.0,624.0,6,1097800.0
85,2,2.0,1.3160902186364198,103.802300019532,8.0,1715.0,1076.0,3,1958000.0
86,3,2.0,1.34036185896759,103.883846444139,-1.0,115.0,947.0,4,1822700.0
88,3,3.0,1.29474075956073,103.836583709306,-1.0,376.0,1141.0,4,3603600.0
89,7,5.0,1.30101092385674,103.862484057069,26.0,360.0,11130.0,10,28380000.0
90,4,4.0,1.36286208839026,103.763433915546,92.0,564.0,1259.0,4,2090000.0
91,2,1.0,1.32696539864482,103.84367423097,6.0,154.0,452.0,6,913000.0
92,2,3.0,1.3049543207656202,103.827627471264,12.0,154.0,1313.0,3,5263500.0
93,3,2.0,1.2914248297393,103.844383363038,9.0,696.0,938.0,4,2750000.0
95,1,1.0,1.37557855184255,103.903316771617,7.0,493.0,732.0,4,935000.0
97,1,1.0,1.3178394716996498,103.826223650676,9.0,44.0,377.0,3,1064800.0
100,2,1.0,1.33990853882395,103.767523150763,62.0,928.0,570.0,5,1262800.0
101,1,1.0,1.33783870484494,103.846559772458,10.0,590.0,689.0,5,1320000.0
102,3,3.0,1.29916295967817,103.857859536947,5.0,660.0,1722.0,3,4642000.0
103,2,1.0,1.32936720206385,103.905791323853,92.0,237.0,635.0,12,1299100.0
105,2,2.0,1.31334216639182,103.887624564305,-1.0,466.4,1152.0,4,1320000.0
107,4,4.0,1.4477847128746102,103.827451281642,-1.0,413.0,1399.0,4,1812800.0
109,3,2.0,1.36175110952447,103.891446797961,4.0,222.0,904.0,3,1705000.0
110,3,3.0,1.31467262956125,103.839010845653,62.0,340.0,1163.0,4,3421000.0
111,3,2.0,1.29298775382221,103.851046829843,6.0,39.0,6609.0,5,27423000.0
112,4,3.0,1.24678687668364,103.844402093991,13.0,249.0,2583.0,4,5115000.0
113,3,3.0,1.34120980441122,103.956288849924,10.0,646.0,1324.0,6,1578500.0
114,3,3.0,1.38653998627,103.869207772374,7.0,276.0,2315.0,7,2420000.0
115,1,1.0,1.31432631656582,103.831065213527,57.0,117.0,495.0,4,1563800.0
117,3,3.0,1.29647219511777,103.891034649257,92.0,200.0,1109.0,3,3047000.0
118,5,4.0,1.36568309360788,103.874037846175,-1.0,1052.0,2325.0,3,2702700.0
120,2,2.0,1.3655707838852,103.77504908361,92.0,460.0,721.0,3,1313600.0
121,2,2.0,1.29576313642746,103.766122279701,7.0,131.0,1442.0,4,2197800.0
122,3,3.0,1.31101225037145,103.91104219781602,-1.0,22.0,1216.0,4,2506800.0
123,2,2.0,1.26742739055301,103.813671410135,11.0,1129.0,1077.0,8,2189000.0
124,4,5.0,1.30234997893113,103.901267900768,2.0,139.0,1593.0,4,4644200.0
126,5,4.0,1.24297424636053,103.839164641252,11.0,124.0,3940.0,6,7484400.0
127,2,1.0,1.32696539864482,103.84367423097,6.0,154.0,484.0,14,935000.0
128,2,2.0,1.29078080113526,103.837445495482,7.0,70.0,1119.0,4,2587200.0
129,1,1.0,1.30580609670053,103.833059609864,11.0,338.0,624.0,4,2728000.0
131,2,1.0,1.33154468020698,103.866996465418,4.0,731.0,859.0,6,1237500.0
132,6,5.0,1.27588976787545,103.83815170912202,92.0,262.0,2228.0,4,7699800.0
133,2,2.0,1.2896097164683,103.841276389346,23.0,492.0,1055.0,4,1870000.0
134,2,2.0,1.31253129900962,103.888139939124,8.0,36.0,979.0,5,1375000.0
135,3,4.0,1.31987664656565,103.781130442617,37.0,170.0,1959.0,6,3960000.0
136,2,2.0,1.30682945098827,103.838164594407,11.0,140.0,1281.0,10,3608000.0
137,4,2.0,1.4271730204268198,103.836266579618,4.0,920.0,1270.0,4,2120800.0
138,3,2.0,1.3218204074661002,103.864744134712,6.0,862.0,979.0,4,1683000.0
139,6,4.0,1.36101098064253,103.880153745142,24.0,466.4,2260.0,3,2860000.0
140,1,1.0,1.33555731797921,103.742416815373,6.0,738.0,474.0,6,968000.0
142,3,2.0,1.31702437516587,103.760349630999,52.0,1468.0,969.0,4,2025100.0
143,2,2.0,1.2914248297393,103.844383363038,9.0,696.0,829.0,4,2415600.0
144,4,2.0,1.33215538990119,103.723817615498,6.0,546.0,1249.0,3,1738000.0
145,1,1.0,1.27527115223131,103.83683222505,9.0,351.0,603.0,3,1518000.0
146,1,1.0,1.27708340707631,103.849181343548,5.0,510.0,721.0,7,2200000.0
147,1,1.0,1.36565982088201,103.873224518821,-1.0,1052.0,474.0,3,825000.0
148,5,5.0,1.37233081948329,103.943417527664,11.0,724.0,2679.0,3,2915000.0
149,1,1.0,1.31416383479813,103.853905530109,12.0,46.0,431.0,5,811800.0
150,4,3.0,1.29906600768056,103.832068608699,11.0,53.0,2432.0,4,6380000.0
152,1,1.0,1.30819265200559,103.838374549594,8.0,52.0,689.0,3,1870000.0
153,4,2.0,1.3705124214993798,103.899646123343,-1.0,1472.0,1485.0,3,2439800.0
154,2,2.0,1.2934966639073,103.8381049101,1.0,450.0,764.0,4,1961300.0
155,1,1.0,1.2972729466104298,103.838940257017,6.0,76.0,710.0,5,3099800.0
156,2,1.0,1.32088202092246,103.91009200714198,10.0,32.0,635.0,5,1089000.0
157,2,1.0,1.30980898738366,103.834917913837,24.0,136.0,1098.0,6,2915000.0
158,3,4.0,1.2929389935100302,103.821693138843,4.0,663.0,1195.0,6,2552000.0
159,5,4.0,1.34013731823673,103.768787031514,62.0,466.4,1884.0,9,4350500.0
160,4,4.0,1.34579628007765,103.880801954328,1.0,80.0,1291.0,3,2640000.0
161,2,2.0,1.29303736708345,103.837772811242,1.0,450.0,883.0,4,3105300.0
162,3,3.0,1.2772242561628302,103.853694940241,5.0,1042.0,1593.0,5,4495700.0
163,2,2.0,1.29647219511777,103.891034649257,92.0,200.0,689.0,4,2033900.0
164,4,3.0,1.28749505390492,103.793610594541,52.0,1862.0,1313.0,3,2560800.0
165,2,2.0,1.32534460429599,103.840724426138,-1.0,90.0,829.0,4,2536000.0
