name,model,bedrooms,bathrooms,district,region,planning_area,subszone,lat,lng,freehold,since_built_year,no_of_units,area_size,since_listing_month,additional_rooms,price
0,3,3,4.0,5038360.934579439,1,5809465.809768638,5809465.809768638,1.2393366271489,103.83748719432,0,11.0,151.0,2336.0,11,0,5390000.0
0,2,3,3.0,2904791.5646258504,1,2530316.0,2865933.819628647,1.31953348960235,103.847029859453,1,23.0,24.0,1259.0,11,0,2310000.0
0,3,4,3.0,2904791.5646258504,1,2530316.0,2865933.819628647,1.3156558637763798,103.84444472109502,1,10.0,235.0,1959.0,10,0,5279500.0
0,3,3,2.0,1472142.6853707414,0,1597532.42506812,1323384.5360824743,1.32936720206385,103.905791323853,1,92.0,237.0,883.0,3,0,1843600.0
0,2,2,1.0,1391670.736086176,0,1483697.049180328,1535318.4466019417,1.43919858389734,103.829104449216,0,92.0,448.0,678.0,3,0,1131900.0
0,3,4,3.0,1369109.4515752625,0,1344969.9792960663,1426577.0440251573,1.36286208839026,103.763433915546,0,92.0,564.0,1249.0,3,0,2189000.0
0,2,3,2.0,1614645.7483838885,0,1425021.0,1743700.5917159764,1.3823880275650702,103.892136541911,0,6.0,680.0,936.0,4,0,1595000.0
0,2,1,1.0,3478224.1852487135,1,4528125.863723609,9158456.783919599,1.2963566643980902,103.85736876917,0,1.0,219.0,409.0,4,0,1490500.0
0,2,1,1.0,2328611.231884058,1,4528125.863723609,2728664.1666666665,1.27347663345182,103.845553160818,0,8.0,202.0,592.0,7,0,1265000.0
0,3,3,3.0,4775055.743509048,1,8152532.605729877,10466942.0,1.31083945362027,103.828325367461,1,8.0,156.0,1765.0,9,1,5439500.0
0,3,3,2.0,1443190.826873385,0,1474056.5557729942,1726299.0990990992,1.3453195492621202,103.945384662025,0,-1.0,466.4,1033.0,4,0,1705000.0
0,3,2,1.0,1464337.8330373003,0,1597532.42506812,1250390.4522613066,1.32582135495427,103.944919226615,0,2.0,720.0,560.0,4,0,1031800.0
0,3,3,2.0,1464337.8330373003,0,1597532.42506812,1409073.4042553192,1.3292937604838502,103.94421519181,0,20.0,482.0,1238.0,4,1,1485000.0
0,3,3,3.0,3103501.436031332,1,2184191.4739884394,2917566.1764705884,1.2984373006061298,103.884408021083,1,6.0,130.0,1216.0,4,0,2809000.0
0,3,4,4.0,5038360.934579439,1,5809465.809768638,5809465.809768638,1.24297424636053,103.839164641252,0,11.0,124.0,2519.0,5,0,5087500.0
0,2,3,3.0,3478224.1852487135,1,4528125.863723609,9158456.783919599,1.2963566643980902,103.85736876917,0,1.0,219.0,1324.0,4,0,4610300.0
0,2,4,4.0,7014909.427609428,1,4528125.863723609,9158456.783919599,1.29298775382221,103.851046829843,0,6.0,39.0,5963.0,10,0,24742700.0
0,2,2,2.0,2044309.4533029613,1,3543962.2532894737,1991646.5277777778,1.2763901192721498,103.830271330171,0,92.0,1074.0,689.0,3,0,1636800.0
0,0,1,1.0,1369109.4515752625,0,1117884.693877551,958561.5384895565,1.3769729039412502,103.751272385118,0,4.0,1327.0,570.0,4,0,768900.0
0,3,3,3.0,4775055.743509048,1,2535026.006904488,3471861.61971831,1.31264956890401,103.794954717761,1,3.0,69.0,1130.0,4,0,3480400.0
0,2,2,2.0,2044309.4533029613,1,2277172.2433460075,2406725.6038647345,1.2829614865958898,103.839814598308,0,92.0,774.0,570.0,4,0,2092200.0
1,2,3,2.0,2044910.1265822784,1,1967280.4586241276,1884550.9641873278,1.28702848318685,103.791616124392,0,52.0,1862.0,915.0,4,0,1760000.0
0,3,2,2.0,5038360.934579439,1,3543962.2532894737,4673443.285939968,1.26489010829928,103.816454088109,0,6.0,366.0,969.0,6,0,1881000.0
0,2,1,1.0,4775055.743509048,1,6349252.044609666,16572637.777777778,1.2998826225442,103.828975333714,1,9.0,60.0,527.0,4,0,1580700.0
1,2,3,2.0,4854490.980735552,1,4528125.863723609,4776989.793281654,1.27671498507474,103.853326932298,0,5.0,1042.0,1518.0,6,0,4312000.0
0,2,3,3.0,5384516.552978626,1,3734418.5676392573,3183496.2025316455,1.29173359502464,103.836971346231,1,13.0,545.0,1496.0,6,0,4620000.0
0,3,3,3.0,1275588.2037533512,0,1425021.0,1262094.8,1.39500084857108,103.881564789742,0,6.0,555.0,1055.0,4,1,1104400.0
0,2,4,5.0,5384516.552978626,1,8152532.605729877,6046682.113821139,1.30616222501617,103.83699453780198,1,44.0,204.0,3305.0,4,0,7920000.0
0,3,2,1.0,1743462.156448203,1,1798508.9201877934,1484378.6666666667,1.33183478538043,103.869655274598,0,6.0,332.0,872.0,7,0,1408000.0
0,3,2,2.0,2044309.4533029613,1,3543962.2532894737,1604173.939621071,1.28948198551176,103.830085402755,0,29.0,280.0,926.0,15,0,1540000.0
0,2,1,1.0,2044910.1265822784,1,1967280.4586241276,2218791.0828025476,1.27685386379359,103.791742171785,1,4.0,120.0,603.0,5,1,1443800.0
0,2,2,2.0,1614645.7483838885,0,1468921.5496368038,1435912.5,1.36150960154245,103.887627003056,0,3.0,395.0,743.0,4,0,1485000.0
0,3,1,1.0,5384516.552978626,1,6349252.044609666,4096746.6666666665,1.29916779999053,103.83342756799,0,7.0,462.0,549.0,5,0,1848000.0
0,2,4,3.0,1391670.736086176,0,1483697.049180328,1535318.4466019417,1.4401512884871297,103.82780133663,0,92.0,448.0,1302.0,4,0,2050400.0
0,3,1,1.0,1743462.156448203,1,1798508.9201877934,1594948.9583333333,1.34099076651783,103.880849820172,0,6.0,868.0,463.0,15,0,748000.0
0,2,2,2.0,2904791.5646258504,1,2530316.0,2865933.819628647,1.3156928164723998,103.841615456446,1,6.0,180.0,775.0,4,1,2176900.0
1,2,2,2.0,4854490.980735552,1,4528125.863723609,4776989.793281654,1.27671498507474,103.853326932298,0,5.0,1042.0,1005.0,6,0,2860000.0
1,2,3,3.0,1991224.1223103057,1,2535026.006904488,1922859.266802444,1.33990853882395,103.767523150763,1,62.0,466.4,1033.0,3,0,2263800.0
0,3,4,4.0,1386899.745547074,0,1385824.888888889,1366258.2840236686,1.35516120754023,103.967844585142,0,7.0,501.0,1539.0,4,0,1859000.0
1,2,1,1.0,4854490.980735552,1,4528125.863723609,4776989.793281654,1.2772242561628302,103.853694940241,0,5.0,1042.0,732.0,3,0,1837000.0
0,3,1,1.0,1472142.6853707414,1,1506564.6327683616,1445918.6046511629,1.3191895872053898,103.881380824314,0,9.0,1024.0,560.0,3,0,946000.0
0,2,4,3.0,1472142.6853707414,1,1506564.6327683616,1445918.6046511629,1.31391724536932,103.883271343775,1,92.0,34.0,1313.0,4,0,2168100.0
0,3,2,2.0,2044910.1265822784,1,1967280.4586241276,2218791.0828025476,1.28071186552745,103.79096314844,0,62.0,548.0,786.0,3,1,1408000.0
0,3,4,4.0,4775055.743509048,1,8152532.605729877,10466942.0,1.31083945362027,103.828325367461,1,8.0,156.0,2476.0,4,0,7891400.0
0,3,3,3.0,4854490.980735552,1,4528125.863723609,4776989.793281654,1.279625798918,103.854987203774,0,12.0,428.0,1636.0,6,0,4158000.0
0,3,2,2.0,1991224.1223103057,1,2535026.006904488,2017378.313253012,1.3382224855350802,103.781375965144,0,33.0,215.0,786.0,4,0,1727000.0
0,0,3,2.0,1614645.7483838885,0,1468921.5496368038,1327180.8510638298,1.37669739983417,103.903413816668,0,7.0,394.0,1227.0,12,0,1353000.0
